name	type	units	low_cutoff	high_cutoff	group	sampling_frequency	description	notch
RC1	SEEG	V	n/a	n/a	RC	1000	depth	n/a
RC2	SEEG	V	n/a	n/a	RC	1000	depth	n/a
RC3	SEEG	V	n/a	n/a	RC	1000	depth	n/a
RC4	SEEG	V	n/a	n/a	RC	1000	depth	n/a
RC5	SEEG	V	n/a	n/a	RC	1000	depth	n/a
RC6	SEEG	V	n/a	n/a	RC	1000	depth	n/a
RC7	SEEG	V	n/a	n/a	RC	1000	depth	n/a
RC8	SEEG	V	n/a	n/a	RC	1000	depth	n/a
RC9	SEEG	V	n/a	n/a	RC	1000	depth	n/a
RC10	SEEG	V	n/a	n/a	RC	1000	depth	n/a
RC11	SEEG	V	n/a	n/a	RC	1000	depth	n/a
RC12	SEEG	V	n/a	n/a	RC	1000	depth	n/a
RC13	SEEG	V	n/a	n/a	RC	1000	depth	n/a
RC14	SEEG	V	n/a	n/a	RC	1000	depth	n/a
RG1	SEEG	V	n/a	n/a	RG	1000	depth	n/a
RG2	SEEG	V	n/a	n/a	RG	1000	depth	n/a
RG3	SEEG	V	n/a	n/a	RG	1000	depth	n/a
RG4	SEEG	V	n/a	n/a	RG	1000	depth	n/a
RG5	SEEG	V	n/a	n/a	RG	1000	depth	n/a
RG6	SEEG	V	n/a	n/a	RG	1000	depth	n/a
RG7	SEEG	V	n/a	n/a	RG	1000	depth	n/a
RG8	SEEG	V	n/a	n/a	RG	1000	depth	n/a
RG9	SEEG	V	n/a	n/a	RG	1000	depth	n/a
RG10	SEEG	V	n/a	n/a	RG	1000	depth	n/a
RG11	SEEG	V	n/a	n/a	RG	1000	depth	n/a
RG12	SEEG	V	n/a	n/a	RG	1000	depth	n/a
RG13	SEEG	V	n/a	n/a	RG	1000	depth	n/a
RG14	SEEG	V	n/a	n/a	RG	1000	depth	n/a
RG15	SEEG	V	n/a	n/a	RG	1000	depth	n/a
RG16	SEEG	V	n/a	n/a	RG	1000	depth	n/a
RS1	SEEG	V	n/a	n/a	RS	1000	depth	n/a
RS2	SEEG	V	n/a	n/a	RS	1000	depth	n/a
RS3	SEEG	V	n/a	n/a	RS	1000	depth	n/a
RS4	SEEG	V	n/a	n/a	RS	1000	depth	n/a
RS5	SEEG	V	n/a	n/a	RS	1000	depth	n/a
RS6	SEEG	V	n/a	n/a	RS	1000	depth	n/a
RS7	SEEG	V	n/a	n/a	RS	1000	depth	n/a
RS8	SEEG	V	n/a	n/a	RS	1000	depth	n/a
RS9	SEEG	V	n/a	n/a	RS	1000	depth	n/a
RS10	SEEG	V	n/a	n/a	RS	1000	depth	n/a
RS11	SEEG	V	n/a	n/a	RS	1000	depth	n/a
RS12	SEEG	V	n/a	n/a	RS	1000	depth	n/a
RS13	SEEG	V	n/a	n/a	RS	1000	depth	n/a
RS14	SEEG	V	n/a	n/a	RS	1000	depth	n/a
RS15	SEEG	V	n/a	n/a	RS	1000	depth	n/a
RS16	SEEG	V	n/a	n/a	RS	1000	depth	n/a
RT1	SEEG	V	n/a	n/a	RT	1000	depth	n/a
RT2	SEEG	V	n/a	n/a	RT	1000	depth	n/a
RT3	SEEG	V	n/a	n/a	RT	1000	depth	n/a
RT4	SEEG	V	n/a	n/a	RT	1000	depth	n/a
RT5	SEEG	V	n/a	n/a	RT	1000	depth	n/a
RT6	SEEG	V	n/a	n/a	RT	1000	depth	n/a
RT7	SEEG	V	n/a	n/a	RT	1000	depth	n/a
RT8	SEEG	V	n/a	n/a	RT	1000	depth	n/a
RT9	SEEG	V	n/a	n/a	RT	1000	depth	n/a
RT10	SEEG	V	n/a	n/a	RT	1000	depth	n/a
RT11	SEEG	V	n/a	n/a	RT	1000	depth	n/a
RT12	SEEG	V	n/a	n/a	RT	1000	depth	n/a
RT13	SEEG	V	n/a	n/a	RT	1000	depth	n/a
RT14	SEEG	V	n/a	n/a	RT	1000	depth	n/a
RT15	SEEG	V	n/a	n/a	RT	1000	depth	n/a
RT16	SEEG	V	n/a	n/a	RT	1000	depth	n/a
RQ1	SEEG	V	n/a	n/a	RQ	1000	depth	n/a
RQ2	SEEG	V	n/a	n/a	RQ	1000	depth	n/a
RQ3	SEEG	V	n/a	n/a	RQ	1000	depth	n/a
RQ4	SEEG	V	n/a	n/a	RQ	1000	depth	n/a
RQ5	SEEG	V	n/a	n/a	RQ	1000	depth	n/a
RQ6	SEEG	V	n/a	n/a	RQ	1000	depth	n/a
RQ7	SEEG	V	n/a	n/a	RQ	1000	depth	n/a
RQ8	SEEG	V	n/a	n/a	RQ	1000	depth	n/a
RQ9	SEEG	V	n/a	n/a	RQ	1000	depth	n/a
RQ10	SEEG	V	n/a	n/a	RQ	1000	depth	n/a
RQ11	SEEG	V	n/a	n/a	RQ	1000	depth	n/a
RQ12	SEEG	V	n/a	n/a	RQ	1000	depth	n/a
RQ13	SEEG	V	n/a	n/a	RQ	1000	depth	n/a
RQ14	SEEG	V	n/a	n/a	RQ	1000	depth	n/a
RQ15	SEEG	V	n/a	n/a	RQ	1000	depth	n/a
RQ16	SEEG	V	n/a	n/a	RQ	1000	depth	n/a
RF1	SEEG	V	n/a	n/a	RF	1000	depth	n/a
RF2	SEEG	V	n/a	n/a	RF	1000	depth	n/a
RF3	SEEG	V	n/a	n/a	RF	1000	depth	n/a
RF4	SEEG	V	n/a	n/a	RF	1000	depth	n/a
RF5	SEEG	V	n/a	n/a	RF	1000	depth	n/a
RF6	SEEG	V	n/a	n/a	RF	1000	depth	n/a
RF7	SEEG	V	n/a	n/a	RF	1000	depth	n/a
RF8	SEEG	V	n/a	n/a	RF	1000	depth	n/a
RF9	SEEG	V	n/a	n/a	RF	1000	depth	n/a
RF10	SEEG	V	n/a	n/a	RF	1000	depth	n/a
RF11	SEEG	V	n/a	n/a	RF	1000	depth	n/a
RF12	SEEG	V	n/a	n/a	RF	1000	depth	n/a
LG1	SEEG	V	n/a	n/a	LG	1000	depth	n/a
LG2	SEEG	V	n/a	n/a	LG	1000	depth	n/a
LG3	SEEG	V	n/a	n/a	LG	1000	depth	n/a
LG4	SEEG	V	n/a	n/a	LG	1000	depth	n/a
LG5	SEEG	V	n/a	n/a	LG	1000	depth	n/a
LG6	SEEG	V	n/a	n/a	LG	1000	depth	n/a
LG7	SEEG	V	n/a	n/a	LG	1000	depth	n/a
LG8	SEEG	V	n/a	n/a	LG	1000	depth	n/a
LG9	SEEG	V	n/a	n/a	LG	1000	depth	n/a
LG10	SEEG	V	n/a	n/a	LG	1000	depth	n/a
LG11	SEEG	V	n/a	n/a	LG	1000	depth	n/a
LG12	SEEG	V	n/a	n/a	LG	1000	depth	n/a
LS1	SEEG	V	n/a	n/a	LS	1000	depth	n/a
LS2	SEEG	V	n/a	n/a	LS	1000	depth	n/a
LS3	SEEG	V	n/a	n/a	LS	1000	depth	n/a
LS4	SEEG	V	n/a	n/a	LS	1000	depth	n/a
LS5	SEEG	V	n/a	n/a	LS	1000	depth	n/a
LS6	SEEG	V	n/a	n/a	LS	1000	depth	n/a
LS7	SEEG	V	n/a	n/a	LS	1000	depth	n/a
LS8	SEEG	V	n/a	n/a	LS	1000	depth	n/a
LS9	SEEG	V	n/a	n/a	LS	1000	depth	n/a
LS10	SEEG	V	n/a	n/a	LS	1000	depth	n/a
LS11	SEEG	V	n/a	n/a	LS	1000	depth	n/a
LS12	SEEG	V	n/a	n/a	LS	1000	depth	n/a
LS13	SEEG	V	n/a	n/a	LS	1000	depth	n/a
LS14	SEEG	V	n/a	n/a	LS	1000	depth	n/a
LS15	SEEG	V	n/a	n/a	LS	1000	depth	n/a
LS16	SEEG	V	n/a	n/a	LS	1000	depth	n/a
LQ1	SEEG	V	n/a	n/a	LQ	1000	depth	n/a
LQ2	SEEG	V	n/a	n/a	LQ	1000	depth	n/a
LQ3	SEEG	V	n/a	n/a	LQ	1000	depth	n/a
LQ4	SEEG	V	n/a	n/a	LQ	1000	depth	n/a
LQ5	SEEG	V	n/a	n/a	LQ	1000	depth	n/a
LQ6	SEEG	V	n/a	n/a	LQ	1000	depth	n/a
LQ7	SEEG	V	n/a	n/a	LQ	1000	depth	n/a
LQ8	SEEG	V	n/a	n/a	LQ	1000	depth	n/a
LQ9	SEEG	V	n/a	n/a	LQ	1000	depth	n/a
LQ10	SEEG	V	n/a	n/a	LQ	1000	depth	n/a
LQ11	SEEG	V	n/a	n/a	LQ	1000	depth	n/a
LQ12	SEEG	V	n/a	n/a	LQ	1000	depth	n/a
LQ13	SEEG	V	n/a	n/a	LQ	1000	depth	n/a
LQ14	SEEG	V	n/a	n/a	LQ	1000	depth	n/a
LQ15	SEEG	V	n/a	n/a	LQ	1000	depth	n/a
LQ16	SEEG	V	n/a	n/a	LQ	1000	depth	n/a
LT1	SEEG	V	n/a	n/a	LT	1000	depth	n/a
LT2	SEEG	V	n/a	n/a	LT	1000	depth	n/a
LT3	SEEG	V	n/a	n/a	LT	1000	depth	n/a
LT4	SEEG	V	n/a	n/a	LT	1000	depth	n/a
LT5	SEEG	V	n/a	n/a	LT	1000	depth	n/a
LT6	SEEG	V	n/a	n/a	LT	1000	depth	n/a
LT7	SEEG	V	n/a	n/a	LT	1000	depth	n/a
LT8	SEEG	V	n/a	n/a	LT	1000	depth	n/a
LT9	SEEG	V	n/a	n/a	LT	1000	depth	n/a
LT10	SEEG	V	n/a	n/a	LT	1000	depth	n/a
LT11	SEEG	V	n/a	n/a	LT	1000	depth	n/a
LT12	SEEG	V	n/a	n/a	LT	1000	depth	n/a
LT13	SEEG	V	n/a	n/a	LT	1000	depth	n/a
LT14	SEEG	V	n/a	n/a	LT	1000	depth	n/a
LT15	SEEG	V	n/a	n/a	LT	1000	depth	n/a
LT16	SEEG	V	n/a	n/a	LT	1000	depth	n/a
LE1	SEEG	V	n/a	n/a	LE	1000	depth	n/a
LE2	SEEG	V	n/a	n/a	LE	1000	depth	n/a
LE3	SEEG	V	n/a	n/a	LE	1000	depth	n/a
LE4	SEEG	V	n/a	n/a	LE	1000	depth	n/a
LE5	SEEG	V	n/a	n/a	LE	1000	depth	n/a
LE6	SEEG	V	n/a	n/a	LE	1000	depth	n/a
LE7	SEEG	V	n/a	n/a	LE	1000	depth	n/a
LE8	SEEG	V	n/a	n/a	LE	1000	depth	n/a
LE9	SEEG	V	n/a	n/a	LE	1000	depth	n/a
LE10	SEEG	V	n/a	n/a	LE	1000	depth	n/a
LE11	SEEG	V	n/a	n/a	LE	1000	depth	n/a
