name	x	y	z	size	group	hemisphere	type	tal.x	tal.y	tal.z	wb.region	ind.region	das.region	stein.region
RSFCGD1	12.4856	40.0788	-18.5430696533825	-999	RSFCGD	R	depth	11.9066	42.3585	-28.8807	Right Cerebral White Matter	medialorbitofrontal	n/a	n/a
RSFCGD2	15.4867	40.0276	-11.9429288040311	-999	RSFCGD	R	depth	14.532	44.004	-22.2441	Right Cerebral White Matter	medialorbitofrontal	n/a	n/a
RSFCGD3	15.0953	40.017	-3.10038520259918	-999	RSFCGD	R	depth	15.9171	45.6363	-14.9535	Right Cerebral White Matter	medialorbitofrontal	n/a	n/a
RSFCGD4	13.526	42.3879	5.16752742955905	-999	RSFCGD	R	depth	16.2543	48.5803	-8.08199	Right Cerebral White Matter	medialorbitofrontal	n/a	n/a
RSFCGD5	14.2425	42.6356	14.8990061863593	-999	RSFCGD	R	depth	17.6395	50.2209	-0.627769	Right Cerebral White Matter	superiorfrontal	n/a	n/a
RSFCGD6	12.8275	43.9818	25.4923384321059	-999	RSFCGD	R	depth	17.9514	53.0629	7.62885	Right Cerebral White Matter	superiorfrontal	n/a	n/a
RSFCGD7	11.7147	45.3267	33.6383528184923	-999	RSFCGD	R	depth	18.1472	54.991	14.899	Right Cerebral White Matter	rostralmiddlefrontal	n/a	n/a
RSFCGD8	11.6022	45.7884	39.2143317693535	-999	RSFCGD	R	depth	19.7245	57.9787	21.7212	Right Cerebral White Matter	superiorfrontal	n/a	n/a
RMFSOD1	26.9646	26.885	3.52713298188781	-999	RMFSOD	R	depth	28.1951	32.1911	-10.1011	Right Cerebral White Matter	insula	n/a	n/a
RMFSOD2	26.7065	27.2621	8.8693295136548	-999	RMFSOD	R	depth	29.3991	32.282	-5.9179	Right Cerebral White Matter	insula	n/a	n/a
RMFSOD3	29.347	26.7848	15.3055288283992	-999	RMFSOD	R	depth	31.9086	33.0251	-0.0381585	Right Cerebral White Matter	insula	n/a	n/a
RMFSOD4	32.8067	25.5096	20.7197890365611	-999	RMFSOD	R	depth	33.2031	33.9141	6.24797	Right Cerebral White Matter	rostralmiddlefrontal	n/a	n/a
RMFSOD5	35.2572	23.7432	23.9181378438709	-999	RMFSOD	R	depth	34.3818	33.8895	11.5475	Right MFG middle frontal gyrus	rostralmiddlefrontal	n/a	n/a
RMFSOD6	35.7508	24.5089	29.7625275121886	-999	RMFSOD	R	depth	35.8178	35.828	18.1016	Right Cerebral White Matter	rostralmiddlefrontal	n/a	n/a
RMFSOD7	37.6635	25.0458	33.4636210441616	-999	RMFSOD	R	depth	38.2366	35.8132	22.685	Right Cerebral White Matter	rostralmiddlefrontal	n/a	n/a
RMFSOD8	37.9707	28.0233	40.0474703476789	-999	RMFSOD	R	depth	39.5312	36.7023	28.9711	Right MFG middle frontal gyrus	rostralmiddlefrontal	n/a	n/a
RIFTFD1	45.0705	21.4184	0.866112865382347	-999	RIFTFD	R	depth	42.198	26.0319	-16.6432	Right FO frontal operculum	parstriangularis	n/a	n/a
RIFTFD2	47.0963	23.581	4.59089353229063	-999	RIFTFD	R	depth	44.758	27.0453	-12.2169	Right Cerebral White Matter	parsopercularis	n/a	n/a
RIFTFD3	49.0165	23.8598	8.57800192503643	-999	RIFTFD	R	depth	47.3635	28.4439	-7.01382	Right Cerebral White Matter	insula	n/a	n/a
RIFTFD4	49.6523	22.9779	12.4236383302515	-999	RIFTFD	R	depth	48.7088	29.5828	-2.59028	Right Cerebral White Matter	insula	n/a	n/a
RIFTFD5	52.0949	22.3633	16.632225505207	-999	RIFTFD	R	depth	51.2435	30.4766	2.87442	Right MFG middle frontal gyrus	parsopercularis	n/a	n/a
RIFTFD6	52.67	24.1573	21.1643463375613	-999	RIFTFD	R	depth	53.8035	31.5113	7.726	Right Cerebral White Matter	parsopercularis	n/a	n/a
RIFTFD7	53.909	26.963	27.2917022131194	-999	RIFTFD	R	depth	56.5049	33.5952	12.8458	Right MFG middle frontal gyrus	parsopercularis	n/a	n/a
