name	x	y	z	size	group	hemisphere	type	tal.x	tal.y	tal.z	ind.region
LB1	-24.2591	-7.07165	-25.7284135805037	-999	LB	L	depth	-23.6414	-10.2872	-19.0803	n/a
LB2	-29.9243	-7.84994	-28.0610954327841	-999	LB	L	depth	-29.459	-10.1601	-18.4644	n/a
LB3	-37.0389	-9.35786	-30.6619000319119	-999	LB	L	depth	-35.7163	-10.3403	-18.8573	n/a
LB4	-42.4042	-10.6418	-28.9947406693335	-999	LB	L	depth	-41.5341	-10.2132	-18.2414	inferiortemporal
LB5	-47.6754	-11.0657	-26.7710166448705	-999	LB	L	depth	-47.3517	-10.086	-17.6256	middletemporal
LB6	-54.3687	-11.3365	-26.0280790711583	-999	LB	L	depth	-52.1266	-9.92885	-16.9442	middletemporal
LB7	-61.3269	-10.0538	-25.1887292274948	-999	LB	L	depth	-57.8623	-10.0941	-17.3044	middletemporal
LB8	-68.5976	-8.7292	-23.6317525074367	-999	LB	L	depth	-64.7229	-9.99701	-16.754	middletemporal
LC1	-21.9541	-29.4235	-14.4913410565918	-999	LC	L	depth	-21.3526	-32.0078	-9.83935	parahippocampal
LC2	-28.1572	-28.581	-13.9248905953156	-999	LC	L	depth	-27.1703	-31.8807	-9.22347	parahippocampal
LC3	-32.9504	-29.5103	-14.7654635906885	-999	LC	L	depth	-31.9451	-31.7235	-8.54215	parahippocampal
LC4	-39.7995	-31.9304	-16.4775343397346	-999	LC	L	depth	-37.7628	-31.5963	-7.92627	fusiform
LC5	-46.3098	-33.7373	-16.9698395453745	-999	LC	L	depth	-43.6624	-31.1767	-6.3344	fusiform
LC6	-52.05	-33.4638	-17.3182293520572	-999	LC	L	depth	-49.48	-31.0495	-5.71851	inferiortemporal
LC7	-57.7605	-30.917	-16.0441622314737	-999	LC	L	depth	-55.3796	-30.6299	-4.12664	middletemporal
LC8	-63.5861	-29.4068	-14.1403705549947	-999	LC	L	depth	-60.1544	-30.4727	-3.44526	middletemporal
LC9	-68.9208	-31.7279	-10.6591593258015	-999	LC	L	depth	-66.0139	-31.5689	-1.57751	middletemporal
LC10	-74.3035	-32.0052	-8.83581820473276	-999	LC	L	depth	-72.3531	-31.4568	-0.994471	middletemporal
LI1	-24.5149	15.4345	-39.4841297415704	-999	LI	L	depth	-23.6939	11.4139	-30.2342	temporalpole
LI2	-27.8682	16.7382	-38.7904125121263	-999	LI	L	depth	-27.4525	12.6118	-29.6713	temporalpole
LI3	-31.5522	16.677	-39.1732546492767	-999	LI	L	depth	-31.1025	12.5066	-29.9005	temporalpole
LI4	-34.7667	16.582	-37.950216384298	-999	LI	L	depth	-34.3131	12.7089	-29.1209	temporalpole
LI5	-37.9243	15.8358	-39.4539537857715	-999	LI	L	depth	-37.9631	12.6037	-29.3501	temporalpole
LI6	-41.8211	18.4483	-37.3972274501522	-999	LI	L	depth	-41.7349	14.3068	-28.8792	superiortemporal
LI7	-45.5816	18.8212	-37.9261801339087	-999	LI	L	depth	-44.8636	14.2167	-29.0756	superiortemporal
LI8	-50.5579	19.3388	-38.3455203360669	-999	LI	L	depth	-48.5138	14.1115	-29.3048	superiortemporal
LE1	-25.1392	-6.70489	-40.9331517491899	-999	LE	L	depth	-27.6643	-10.5282	-28.619	fusiform
