name	x	y	z	size	group	hemisphere	type
LAI1	-11.0148	-74.3511	-9.4131	-999	LAI	L	strip
LAI2	-18.6683	-66.5812	-9.46007	-999	LAI	L	strip
LAI3	-25.6294	-59.2974	-10.8295	-999	LAI	L	strip
LAI4	-32.8666	-51.879	-13.8084	-999	LAI	L	strip
LAT1	-30.1149	13.6608	-37.0302	-999	LAT	L	grid
LAT2	-39.736	17.8484	-35.4374	-999	LAT	L	grid
LAT3	-46.363	18.8541	-27.957	-999	LAT	L	grid
LAT4	-49.2726	17.7975	-17.9302	-999	LAT	L	grid
LAT5	-51.4181	15.1393	-7.34337	-999	LAT	L	grid
LAT6	-52.2336	12.4321	2.09551	-999	LAT	L	grid
LAT7	-53.206	10.1837	13.6927	-999	LAT	L	grid
LAT8	-55.454	7.08537	25.4196	-999	LAT	L	grid
LAT9	-34.6738	4.66289	-38.6577	-999	LAT	L	grid
LAT10	-45.185	9.26082	-38.0508	-999	LAT	L	grid
LAT11	-51.8357	9.56557	-31.1328	-999	LAT	L	grid
LAT12	-53.879	7.39789	-20.6824	-999	LAT	L	grid
LAT13	-54.8514	5.09962	-10.0815	-999	LAT	L	grid
LAT14	-55.7453	2.59096	-0.179358	-999	LAT	L	grid
LAT15	-56.6393	0.128546	10.6468	-999	LAT	L	grid
LAT16	-57.714	-2.60957	22.3909	-999	LAT	L	grid
LPT1	-35.7182	-44.4918	-16.3211	-999	LPT	L	grid
LPT2	-43.7977	-38.4794	-18.9661	-999	LPT	L	grid
LPT3	-52.2628	-30.5096	-20.698	-999	LPT	L	grid
LPT4	-58.9715	-24.0614	-21.0201	-999	LPT	L	grid
LPT5	-63.9788	-15.0052	-18.8664	-999	LPT	L	grid
LPT6	-62.1587	-5.67488	-13.773	-999	LPT	L	grid
LPT7	-42.7566	-53.0879	-16.0166	-999	LPT	L	grid
LPT8	-50.867	-45.4632	-16.8376	-999	LPT	L	grid
LPT9	-58.882	-38.2532	-15.2138	-999	LPT	L	grid
LPT10	-63.2517	-28.7718	-13.1212	-999	LPT	L	grid
LPT11	-65.2819	-19.4755	-8.41865	-999	LPT	L	grid
LPT12	-63.4071	-11.0565	-4.58656	-999	LPT	L	grid
LPT13	-50.6206	-60.076	-12.4291	-999	LPT	L	grid
LPT14	-57.2579	-51.5251	-11.064	-999	LPT	L	grid
LPT15	-62.0129	-43.3045	-7.86307	-999	LPT	L	grid
LPT16	-64.5785	-33.9429	-3.23591	-999	LPT	L	grid
LPT17	-64.8216	-24.5623	0.857301	-999	LPT	L	grid
LPT18	-62.8994	-14.7174	6.29667	-999	LPT	L	grid
LPT19	-56.1761	-65.6368	-4.40797	-999	LPT	L	grid
LPT20	-60.8526	-57.6268	-1.90602	-999	LPT	L	grid
LPT21	-64.2297	-48.0653	1.03618	-999	LPT	L	grid
LPT22	-65.7246	-38.8158	6.18171	-999	LPT	L	grid
LPT23	-64.873	-28.8393	11.492	-999	LPT	L	grid
LPT24	-62.9746	-19.6965	16.3475	-999	LPT	L	grid
LOF1	-4.49321	53.7804	-27.1383	-999	LOF	L	strip
LOF2	-10.0107	44.2943	-23.3275	-999	LOF	L	strip
LOF3	-17.237	37.7314	-19.8012	-999	LOF	L	strip
LOF4	-28.9211	38.7513	-19.0137	-999	LOF	L	strip
LOF5	-38.6682	41.7476	-17.8469	-999	LOF	L	strip
LOF6	-46.0045	43.4435	-12.1878	-999	LOF	L	strip
LOF7	-48.15	40.7875	-1.55914	-999	LOF	L	strip
LOF8	-46.5717	40.2391	9.77854	-999	LOF	L	strip
LIF1	0.538119	64.2247	-2.74747	-999	LIF	R	strip
LIF2	-3.12909	72.1436	4.40254	-999	LIF	L	strip
LIF3	-11.4578	73.7827	9.67662	-999	LIF	L	strip
LIF4	-20.6211	68.4742	12.8839	-999	LIF	L	strip
LIF5	-28.785	60.9247	14.3977	-999	LIF	L	strip
LIF6	-35.2094	52.0494	14.0061	-999	LIF	L	strip
LIF7	-40.1298	42.4895	14.0081	-999	LIF	L	strip
LIF8	-43.7986	33.076	13.2612	-999	LIF	L	strip
LAD1	-22.4342	-16.4456	-7.94455	-999	LAD	L	depth
LAD2	-27.4577	-13.6215	-8.54458	-999	LAD	L	depth
LAD3	-32.6075	-11.9887	-9.57086	-999	LAD	L	depth
LAD4	-36.765	-10.2759	-9.74753	-999	LAD	L	depth
LPD1	-22.0522	-24.5353	2.32015	-999	LPD	L	depth
LPD2	-27.485	-23.6729	2.26459	-999	LPD	L	depth
LPD3	-31.6423	-21.9604	2.07937	-999	LPD	L	depth
LPD4	-36.9492	-19.9044	2.49609	-999	LPD	L	depth
LP1	-50.3943	11.5638	41.4382	-999	LP	L	strip
LP2	-55.079	1.36238	39.1412	-999	LP	L	strip
LP3	-57.4415	-8.82241	36.2597	-999	LP	L	strip
LP4	-60.9771	-19.3674	33.3608	-999	LP	L	strip
LP5	-63.1349	-28.5725	30.1851	-999	LP	L	strip
LP6	-63.151	-38.037	27.3382	-999	LP	L	strip
LP7	-62.0415	-48.5489	23.27	-999	LP	L	strip
LP8	-59.916	-58.2728	20.7517	-999	LP	L	strip
