name	type	units	low_cutoff	high_cutoff	group	sampling_frequency	description	notch
LFD1	SEEG	V	n/a	n/a	LFD	1000	depth	n/a
LFD2	SEEG	V	n/a	n/a	LFD	1000	depth	n/a
LFD3	SEEG	V	n/a	n/a	LFD	1000	depth	n/a
LFD4	SEEG	V	n/a	n/a	LFD	1000	depth	n/a
LFD5	SEEG	V	n/a	n/a	LFD	1000	depth	n/a
LFD6	SEEG	V	n/a	n/a	LFD	1000	depth	n/a
LFD7	SEEG	V	n/a	n/a	LFD	1000	depth	n/a
LFD8	SEEG	V	n/a	n/a	LFD	1000	depth	n/a
LFD9	SEEG	V	n/a	n/a	LFD	1000	depth	n/a
LFD10	SEEG	V	n/a	n/a	LFD	1000	depth	n/a
LIFD1	SEEG	V	n/a	n/a	LIFD	1000	depth	n/a
LIFD2	SEEG	V	n/a	n/a	LIFD	1000	depth	n/a
LIFD3	SEEG	V	n/a	n/a	LIFD	1000	depth	n/a
LIFD4	SEEG	V	n/a	n/a	LIFD	1000	depth	n/a
LIFD5	SEEG	V	n/a	n/a	LIFD	1000	depth	n/a
LIFD6	SEEG	V	n/a	n/a	LIFD	1000	depth	n/a
LIFD7	SEEG	V	n/a	n/a	LIFD	1000	depth	n/a
LIFD8	SEEG	V	n/a	n/a	LIFD	1000	depth	n/a
LIFD9	SEEG	V	n/a	n/a	LIFD	1000	depth	n/a
LIFD10	SEEG	V	n/a	n/a	LIFD	1000	depth	n/a
LPD1	SEEG	V	n/a	n/a	LPD	1000	depth	n/a
LPD2	SEEG	V	n/a	n/a	LPD	1000	depth	n/a
LPD3	SEEG	V	n/a	n/a	LPD	1000	depth	n/a
LPD4	SEEG	V	n/a	n/a	LPD	1000	depth	n/a
LPD5	SEEG	V	n/a	n/a	LPD	1000	depth	n/a
LPD6	SEEG	V	n/a	n/a	LPD	1000	depth	n/a
LPD7	SEEG	V	n/a	n/a	LPD	1000	depth	n/a
LPD8	SEEG	V	n/a	n/a	LPD	1000	depth	n/a
LPD9	SEEG	V	n/a	n/a	LPD	1000	depth	n/a
LPD10	SEEG	V	n/a	n/a	LPD	1000	depth	n/a
LPPD1	SEEG	V	n/a	n/a	LPPD	1000	depth	n/a
LPPD2	SEEG	V	n/a	n/a	LPPD	1000	depth	n/a
LPPD3	SEEG	V	n/a	n/a	LPPD	1000	depth	n/a
LPPD4	SEEG	V	n/a	n/a	LPPD	1000	depth	n/a
LPPD5	SEEG	V	n/a	n/a	LPPD	1000	depth	n/a
LPPD6	SEEG	V	n/a	n/a	LPPD	1000	depth	n/a
LPPD7	SEEG	V	n/a	n/a	LPPD	1000	depth	n/a
LPPD8	SEEG	V	n/a	n/a	LPPD	1000	depth	n/a
LPPD9	SEEG	V	n/a	n/a	LPPD	1000	depth	n/a
LPPD10	SEEG	V	n/a	n/a	LPPD	1000	depth	n/a
ROFD1	SEEG	V	n/a	n/a	ROFD	1000	depth	n/a
ROFD2	SEEG	V	n/a	n/a	ROFD	1000	depth	n/a
ROFD3	SEEG	V	n/a	n/a	ROFD	1000	depth	n/a
ROFD4	SEEG	V	n/a	n/a	ROFD	1000	depth	n/a
ROFD5	SEEG	V	n/a	n/a	ROFD	1000	depth	n/a
ROFD6	SEEG	V	n/a	n/a	ROFD	1000	depth	n/a
ROFD7	SEEG	V	n/a	n/a	ROFD	1000	depth	n/a
ROFD8	SEEG	V	n/a	n/a	ROFD	1000	depth	n/a
ROFD9	SEEG	V	n/a	n/a	ROFD	1000	depth	n/a
ROFD10	SEEG	V	n/a	n/a	ROFD	1000	depth	n/a
RASFD1	SEEG	V	n/a	n/a	RASFD	1000	depth	n/a
RASFD2	SEEG	V	n/a	n/a	RASFD	1000	depth	n/a
RASFD3	SEEG	V	n/a	n/a	RASFD	1000	depth	n/a
RASFD4	SEEG	V	n/a	n/a	RASFD	1000	depth	n/a
RASFD5	SEEG	V	n/a	n/a	RASFD	1000	depth	n/a
RASFD6	SEEG	V	n/a	n/a	RASFD	1000	depth	n/a
RASFD7	SEEG	V	n/a	n/a	RASFD	1000	depth	n/a
RASFD8	SEEG	V	n/a	n/a	RASFD	1000	depth	n/a
RASFD9	SEEG	V	n/a	n/a	RASFD	1000	depth	n/a
RASFD10	SEEG	V	n/a	n/a	RASFD	1000	depth	n/a
RPFD1	SEEG	V	n/a	n/a	RPFD	1000	depth	n/a
RPFD2	SEEG	V	n/a	n/a	RPFD	1000	depth	n/a
RPFD3	SEEG	V	n/a	n/a	RPFD	1000	depth	n/a
RPFD4	SEEG	V	n/a	n/a	RPFD	1000	depth	n/a
RPFD5	SEEG	V	n/a	n/a	RPFD	1000	depth	n/a
RPFD6	SEEG	V	n/a	n/a	RPFD	1000	depth	n/a
RPFD7	SEEG	V	n/a	n/a	RPFD	1000	depth	n/a
RPFD8	SEEG	V	n/a	n/a	RPFD	1000	depth	n/a
RPFD9	SEEG	V	n/a	n/a	RPFD	1000	depth	n/a
